Tag: 政治 
The number of books: 372 

ID, Rating, Votes, Title
4820710, 9.3, 28013,  1984 
2035179, 9.2, 28036,  动物农场 
1082387, 9.2, 23977,  一九八四　动物农场 
1027191, 9.0, 26831,  历史深处的忧虑 
3813669, 8.6, 51442,  民主的细节 
1003479, 9.1, 21175,  中国历代政治得失 
1014825, 9.0, 10535,  我也有一个梦想 
20424526, 8.9, 10252,  邓小平时代 
1077528, 8.9, 8047,  通往奴役之路 
1041385, 9.2, 4494,  论美国的民主 
20463108, 8.3, 16382,  观念的水位 
6401128, 8.9, 6222,  批评官员的尺度 
5408882, 9.1, 3985,  公正 
1321789, 8.5, 8897,  美丽新世界 
1032063, 8.9, 4948,  旧制度与大革命 
1907199, 8.6, 5969,  扫起落叶好过冬 
1212199, 8.9, 3597,  一百个人的十年 
19920715, 8.6, 5316,  论中国 
1065977, 8.6, 3834,  共产党宣言 
1070007, 8.8, 1969,  致命的自负 
1010888, 8.4, 3208,  一路走来一路读 
25881102, 8.9, 1653,  独裁者手册 
1657455, 8.6, 1973,  论人类不平等的起源和基础 
1210057, 9.2, 969,  一九八四 上来透口气 
1893879, 8.5, 2063,  张居正（全四册） 
3097539, 8.9, 1146,  自由选择 
1982427, 9.0, 988,  大明王朝1566 
1506961, 8.4, 1879,  西行漫记 
1397659, 8.0, 3167,  国画 
1804960, 9.3, 675,  社会与政治运动讲义 
3431988, 9.1, 812,  人的境况 
25808056, 8.1, 2563,  纸牌屋 
2146277, 9.1, 784,  一个政治性人物的肖像 
1005813, 9.0, 855,  自由秩序原理 
1482609, 9.1, 739,  理解国际冲突 
20497889, 7.4, 6932,  全世界人民都知道 
1754836, 8.8, 921,  向加泰罗尼亚致敬 
25886351, 7.9, 2744,  耶路撒冷三千年 
4827310, 8.8, 876,  “中间地带”的革命 
1787729, 8.4, 1375,  单向度的人 
1034847, 8.5, 1198,  美国与中国 
4929998, 8.3, 1487,  侯卫东官场笔记3 
2713409, 8.8, 819,  国民党的“联共”与“反共” 
2287712, 8.8, 807,  美国精神的封闭 
1125026, 9.0, 642,  毛泽东选集 第二卷 
1139065, 9.0, 630,  党员、党权与党争 
20425489, 9.3, 453,  是，首相 
6308034, 8.4, 1140,  从&#34;东欧&#34;到&#34;新欧洲&#34; 
21432137, 8.7, 776,  共同的底线 
1877291, 8.5, 978,  论出版自由 
3092897, 9.1, 515,  政治学说史（上卷） 
5992743, 7.9, 2043,  看懂世界格局的第一本书 
5387711, 8.3, 1210,  侯卫东官场笔记5 
2382433, 8.7, 752,  罗伯特议事规则 
1421029, 7.5, 3697,  帝国的惆怅 
3238339, 8.7, 747,  人以什么理由来记忆 
1160320, 8.8, 658,  政治学 
6822683, 8.9, 587,  朱　基讲话实录 第一卷 
1009529, 8.6, 779,  毛泽东、斯大林与朝鲜战争 
3432401, 8.1, 1409,  苦难辉煌 
1916533, 8.8, 609,  毛泽东选集 第五卷 
1052968, 8.8, 610,  剑桥中华人民共和国史（下卷） 
25760457, 8.8, 592,  三案始末 
1867208, 9.1, 439,  政治学 
3593300, 9.1, 443,  民主新论 
2079931, 8.7, 651,  大转型 
4212276, 8.4, 889,  苏联的心灵 
25730239, 8.1, 1273,  李光耀论中国与世界 
25777331, 8.4, 877,  美国十讲 
1032937, 8.9, 517,  问题与主义 
1091964, 9.0, 441,  路易　波拿巴的雾月十八日 
1048109, 8.6, 637,  第三波 
2051821, 8.7, 557,  论革命 
3682755, 8.9, 457,  政治科学（第九版） 
