Tag: 小说 
The number of books: 958 

ID, Rating, Votes, Title
1007305, 9.5, 112465,  红楼梦 
3259440, 9.1, 172549,  白夜行 
1770782, 8.8, 247514,  追风筝的人 
1008145, 8.9, 179336,  围城 
1082154, 9.1, 119705,  活着 
6082808, 9.2, 93691,  百年孤独 
1068920, 9.3, 73176,  飘（上下） 
5363767, 9.2, 73701,  三体Ⅲ 
3066477, 9.2, 74246,  三体Ⅱ 
3211779, 8.9, 118949,  嫌疑人X的献身 
1200840, 9.0, 93679,  平凡的世界（全三部） 
2567698, 8.8, 124811,  三体 
1041007, 9.0, 82329,  哈利　波特与魔法石 
25862578, 8.6, 167240,  解忧杂货店 
1019568, 9.2, 52529,  三国演义（全二册） 
1255625, 9.1, 53323,  天龙八部 
1071241, 8.9, 70035,  哈利　波特与阿兹卡班的囚徒 
1009257, 8.9, 67945,  哈利　波特与火焰杯 
1083428, 8.8, 80150,  傲慢与偏见 
1873231, 8.8, 77434,  明朝那些事儿（壹） 
1858513, 8.9, 61349,  月亮和六便士 
1017143, 8.5, 129832,  不能承受的生命之轻 
1039487, 8.8, 67764,  哈利　波特与密室 
2295163, 8.9, 53372,  哈利　波特与死亡圣器 
4820710, 9.3, 28009,  1984 
1432596, 8.8, 59492,  哈利　波特与混血王子 
10594787, 8.9, 49903,  霍乱时期的爱情 
1141406, 8.5, 101520,  简爱 
1829226, 9.1, 35253,  肖申克的救赎 
1085860, 8.9, 48345,  基督山伯爵 
1002299, 8.9, 47729,  笑傲江湖（全四册） 
2035179, 9.2, 28035,  动物农场 
1089243, 8.8, 52312,  黄金时代 
1090043, 8.5, 82932,  倾城之恋 
1336330, 9.3, 21546,  冰与火之歌（卷一） 
1029791, 8.7, 56201,  许三观卖血记 
1082387, 9.2, 23974,  一九八四　动物农场 
1057244, 8.6, 63766,  边城 
1827374, 9.0, 32388,  东方快车谋杀案 
1255624, 8.8, 43386,  神雕侠侣 
2143732, 8.7, 48327,  灿烂千阳 
1040771, 8.2, 123207,  达　芬奇密码 
1013129, 8.6, 56086,  哈利　波特与凤凰社 
1046265, 8.0, 178472,  挪威的森林 
1044547, 8.9, 31189,  射雕英雄传（全四册） 
3006581, 8.9, 30630,  无人生还 
1449351, 8.8, 34494,  呐喊 
2154960, 8.7, 38515,  一个陌生女人的来信 
3608208, 8.6, 45245,  牧羊少年奇幻之旅 
1080370, 8.6, 45007,  情书 
2035162, 9.0, 22358,  刀锋 
4742918, 8.3, 73684,  1Q84 BOOK 1 
1205054, 8.9, 25713,  悲惨世界（上中下） 
1022060, 8.3, 72817,  狼图腾 
3646172, 8.4, 58533,  恶意 
1948901, 8.4, 57419,  盗墓笔记 
1986291, 9.5, 10263,  冰与火之歌（卷三） 
1464203, 9.4, 11855,  冰与火之歌（卷二） 
4908885, 9.0, 19837,  局外人 
1003000, 8.4, 53940,  悟空传 
1119522, 8.4, 54293,  呼啸山庄 
1082334, 8.3, 64577,  穆斯林的葬礼 
1212893, 8.8, 26565,  鹿鼎记（全五册） 
5916880, 8.6, 36587,  华胥引（全二册） 
1461903, 8.0, 114035,  何以笙箫默 
1863930, 8.8, 25294,  看不见的城市 
1254588, 8.9, 21250,  城南旧事 
1085799, 8.6, 35099,  白鹿原 
4885241, 8.4, 47246,  1Q84 BOOK 2 
1963684, 8.6, 32732,  半生缘 
1401425, 8.3, 56135,  兄弟（上） 
3426869, 8.3, 54625,  三生三世 十里桃花 
1400705, 8.1, 78881,  情人 
5275059, 7.9, 116787,  1988：我想和这个世界谈谈 
1086249, 8.6, 30292,  荆棘鸟 
3879301, 8.1, 73785,  微微一笑很倾城 
1051193, 8.6, 28438,  麦琪的礼物 
1192090, 8.7, 24092,  球状闪电 
1088065, 8.6, 28141,  阿Q正传 
1092335, 8.9, 16012,  教父 
1014278, 8.4, 36286,  红玫瑰与白玫瑰 
1529893, 8.0, 76540,  莲花 
1258490, 9.2, 10234,  基地 
1020459, 8.4, 34343,  此间的少年 
1059419, 8.1, 58581,  海边的卡夫卡 
1029553, 8.7, 20374,  西游记（全二册） 
2297697, 8.6, 23139,  ZOO 
1024197, 8.3, 39165,  巴黎圣母院 
3017857, 8.5, 26822,  金锁记 
1292416, 8.5, 26372,  香水 
1018577, 8.9, 13751,  霸王别姬 青蛇 
4231381, 8.5, 25834,  那些回不去的年少时光 
2209098, 7.9, 78729,  致我们终将逝去的青春 
1919201, 8.5, 24669,  七夜雪 
3406401, 9.0, 10972,  悉达多 
6880158, 8.7, 17185,  陆犯焉识 
1291809, 8.5, 24050,  世界尽头与冷酷仙境 
3210843, 9.2, 8397,  冰与火之歌　卷四　群鸦的盛宴（全两册） 
26698660, 9.0, 10879,  巨人的陨落 
4011670, 8.3, 33131,  人间失格 
1080309, 8.4, 28092,  尘埃落定 
2256039, 7.8, 88416,  杜拉拉升职记 
2035171, 9.0, 10675,  人生的枷锁 
4187411, 8.8, 14394,  万物有灵且美 
1424741, 8.5, 22321,  心是孤独的猎手 
1008988, 8.3, 31797,  了不起的盖茨比 
1088022, 8.9, 11754,  亮剑 
1394364, 8.8, 13700,  银河系漫游指南 
20381804, 9.4, 6002,  冰与火之歌　卷五　魔龙的狂舞（全三册） 
1159939, 8.5, 21863,  一个陌生女子的来信 
1013380, 8.1, 45015,  茶花女 
1008357, 8.5, 21603,  水浒传（全二册） 
1060852, 8.8, 13277,  呼兰河传 
1856494, 9.3, 6325,  卡拉马佐夫兄弟 
25829693, 9.0, 9396,  永恒的终结 
2022979, 8.1, 41143,  喜宝 
1205370, 8.1, 40898,  羊脂球 
4732378, 8.7, 14160,  那些回不去的年少时光　终场 
6781808, 9.2, 6912,  杀死一只知更鸟 
5038409, 9.0, 8903,  金色梦乡 
26382433, 8.2, 31467,  无声告白 
2567919, 8.3, 26214,  匆匆那年（上下） 
3598313, 8.0, 45448,  西决 
6789605, 9.0, 8665,  树上的男爵 
1004992, 8.8, 11461,  张爱玲文集 
1440972, 9.1, 7386,  博尔赫斯小说集 
1882933, 8.1, 35670,  鬼吹灯之精绝古城 
1963310, 8.2, 29791,  大地之灯 
1449348, 8.8, 10993,  彷徨 
2056749, 8.1, 34478,  时间旅行者的妻子 
