Tag: 游记 

ID, Score, Rating, Votes, Title 
26708306, 41.4, 8.7, 791, 北欧，冰与火之地的寻真之旅 
26698223, 39.6, 9.2, 368, 永恒的时光之旅 
5414391, 66.7, 9.0, 28831, 寻路中国 
26831788, 38.5, 8.0, 1096, 旅行与读书 
25920202, 51.0, 8.6, 4303, 泛若不系之舟 
26587564, 41.1, 8.3, 1187, 我已与一万亿株白桦相逢 
1001885, 58.6, 8.5, 17463, 带一本书去巴黎 
5366382, 51.7, 8.7, 4196, 夜航西飞 
1056461, 55.7, 8.3, 14837, 旅行的艺术 
26884467, 29.7, 8.8, 112, 我甚至希望旅途永无止境 
1361264, 70.7, 9.0, 53322, 撒哈拉的故事 
25984204, 52.3, 7.6, 28600, 乖，摸摸头 
1962923, 55.7, 8.6, 9296, 西班牙旅行笔记 
26910743, 25.2, 9.0, 48, 京都漫步 
26697311, 32.5, 8.4, 248, 重新发现日本 
25753361, 52.8, 8.7, 4978, 最好金龟换酒 
3765620, 51.8, 8.7, 4224, 在漫长的旅途中 
4618225, 56.5, 8.2, 20272, 不去会死！ 
26882312, 25.0, 9.2, 42, 我有一切的美妙 
4159088, 50.6, 7.8, 14062, 理想的下午 
25697520, 52.8, 8.2, 10604, 他们最幸福 
7060185, 64.7, 9.0, 21059, 江城 
1933931, 50.9, 8.7, 3676, 沿着塞纳河到翡冷翠 
26708780, 35.5, 7.8, 807, 非洲三万里 
1036490, 60.1, 8.8, 13990, 万水千山走遍 
6126821, 43.8, 8.4, 1666, 远方的鼓声 
3905366, 51.3, 7.8, 15857, 迟到的间隔年 
26841204, 12.7, 8.0, 10, 100の东京大人味发现 
26253714, 30.7, 7.9, 297, 在西伯利亚森林中 
10834769, 40.7, 7.7, 2502, 门外汉的京都 
1032645, 54.2, 8.6, 7206, 窥视印度 
6805144, 29.5, 7.9, 236, 老巴塔哥尼亚快车（套装上下册） 
6846465, 45.4, 8.6, 1703, 罗摩桥 
26303593, 33.7, 8.4, 302, 三个胡安在海边 
6084703, 41.3, 7.3, 5462, 独立，从一个人旅行开始 
1056868, 54.9, 8.5, 9454, 河童旅行素描本 
1075538, 52.9, 8.2, 10724, 普罗旺斯的一年 
7064313, 50.4, 7.8, 13449, 突然就走到了西藏 
10537645, 38.3, 8.4, 661, 岛屿书 
5366278, 51.5, 8.0, 11574, 走吧，张小砚 
5290370, 48.8, 8.6, 3003, 禅的行囊 
26835061, 29.3, 8.8, 104, 扫把的旅行手账 
3759806, 47.6, 8.4, 3191, 西藏一年 
10354317, 44.1, 8.7, 1227, 荒野求生手册 
26480625, 34.3, 8.0, 508, 午夜降临前抵达 
24934182, 56.2, 8.1, 22700, 一个人的朝圣 
10485696, 46.7, 7.6, 9427, 我就是想停下来，看看这个世界 
6125543, 47.4, 9.2, 1183, 北方的空地 
5264779, 47.5, 7.4, 16189, 背包十年 
